clean_text,polarity,subjectivity,location
You everything secret Room talk Like secret room 're really plotting assass…,-0.2,0.533333333,United States
Brennan Clapper one person flip regarding coup We know,0,0,Oregon Coast
RT :30 Main Room The Best The Store …,0.583333333,0.316666667,"US, Earth"
Governments ’ create Corruption ... Government ’ attract Corrupt people ... Schiff Pelosi Schumer Nadler Sanders Poc…,-0.5,1,
They 're impeachment inquiry behind closed doors *assassination* plot POTUS Brennan leading…,-0.25,0.4,
I fell deep fryer,0,0.4,area 51
Listen President Trump say corruption Obama administration goes way Obama.️ By naming Comey Cl…,0,0,United States
Trump responds rebuke Graham decision Syria `` Lindsey needs focus judiciary ... democ…,0,0,"Eugene, OR"
You everything secret Room talk Like secret room 're really plotting assass…,-0.2,0.533333333,Twentynine Palms 
Listen President Trump say corruption Obama administration goes way Obama.️ By naming Comey Cl…,0,0,United States
:30 Main Room The Best The Store …,0.583333333,0.316666667,"US, Earth"
Listen President Trump say corruption Obama administration goes way Obama.️ By naming Comey Cl…,0,0,"San Diego, CA"
Listen President Trump say corruption Obama administration goes way Obama.️ By naming Comey Cl…,0,0,
Graham supports Strzok Page Comey Brennan,0,0,USA
Trump responds rebuke Graham decision Syria `` Lindsey needs focus judiciary ... democ…,0,0,Canada
Read foregoing tweets fr Secretary Clinton amp Brennan Center Quit t…,-0.1,0.1,Tierra/Earth
Brennan already admitted Obama signed investigating Trump including getting informat…,0,0,
This fucking blows,-0.6,0.8,"Washington, USA"
They 're impeachment inquiry behind closed doors *assassination* plot POTUS Brennan leading…,-0.25,0.4,
Trump turns Lindsey Graham `` He ought find happened Comey happened McCabe Lisa happen…,0,0,Moved to Drums PA
Brennan Clapper one person flip regarding coup We know,0,0,"Trump Land, USA"
guess WHO ELSE dinner Washington DC Oct yes Prime Minister Italy MATTEO RE…,0,0,South Carolina
JUDGEMENT DAY IS COMING IT ’ S ALMOST HERE TIME FOR PAIN TRAITORS MUST PAY THE COST OF TREASON OBAMA CLINTON …,0,0, CO
Brennan Clapper one person flip regarding coup We know,0,0,
You everything secret Room talk Like secret room 're really plotting assass…,-0.2,0.533333333,
Ex CIA Brennan investigated justice department,0,0,
Both Traitors Clapper Brennan gon na throw Barry bus drive 🤣🤣,0,0,USA
Brennan Clapper one person flip regarding coup We know,0,0,"South Carolina, USA"
Kyler Murray named NFC Offensive Player Week Congratulations MORE ️ htt…,0.5,0.5,Where the prod is 
You everything secret Room talk Like secret room 're really plotting ass…,-0.2,0.533333333,
JUDGEMENT DAY IS COMING IT ’ S ALMOST HERE TIME FOR PAIN TRAITORS MUST PAY THE COST OF TREASON OBAMA CLINTON …,0,0,
college scandal putting rich people jail Think Why think Feds Who el…,0.1375,0.375,
Trump responds rebuke Graham decision Syria `` Lindsey needs focus judiciary ... democ…,0,0,IL
guess WHO ELSE dinner Washington DC Oct yes Prime Minister Italy MATTEO RE…,0,0,
Donie Brennan ratified new manager Laois ladies football team Maggie Murphy Daniel O ’ Ne…,0.136363636,0.454545455,
question Was Adam Schiff “ Whistleblower Operation ” planned John Brennan coordinated Brennan Su…,0,0,South Carolina
Megan Brennan first female postmaster general retiring U.S Postal Service amid mounting financia…,0.1,0.333333333,"New York, NY"
A totally defeated face,0,0.75,Where the prod is 
