clean_text,polarity,subjectivity,location
‘ Tis flu season Bring things,0.0,0.0,
Versatope CEO Discusses Company 's Progress Universal Flu Vaccine,0.0,0.0,"California, USA"
There already several flu-related deaths California doctors urging Americans get flu sh…,0.0,0.0,"New York, NY"
Every year flu vaccination available free NHS people likely risk …,0.26666666666666666,0.7333333333333334,"10 Quarry Road, Dudley Wood, Dudley, West Midlands, DY2 0EF"
To keep people around healthy wash hands frequently This helps prevent 🧼…,0.3,0.4,"North Pole, AK"
I stopped getting flu shot I retired military I pin cushion y…,-0.1,0.1,Nevada
In need cold flu symptom relief Click free Theraflu Sick Kit,-0.30476190476190473,0.8857142857142857,
Fun day We lot lined ‘ Simple Health ’ day — fruit salads smoothies petting zoo …,0.15,0.2785714285714286,"Austin, TX"
Longing sick day essentials get cold flu season Click,-0.6571428571428571,0.9285714285714286,
The flu supposed kick butt year People die flu Get flu shot protect And I rea…,0.0,0.0,
I going honest I bit nervous year ’ urging t…,0.6,0.9,"Bucks County, Pennsylvania "
arm like flu shot,0.0,0.0,405
Did cold flu season get best Click link receive free Theraf…,0.26666666666666666,0.7000000000000001,
wo n't even work China Xi 's taking back control private firms Alibaba reverting China a…,0.0,0.1875,
The flu jab changes year year Last year ’ flu jab protect new different strains the…,0.04545454545454545,0.3737373737373737,"10 Quarry Road, Dudley Wood, Dudley, West Midlands, DY2 0EF"
morning everyone except havin flu headache 🤧🤧,0.0,0.0,Fuckuh
I Hear one flu I gave robe felt bit more…,0.0,0.0,End of the World as WE know it
When Is Best Time Get Your Flu Shot,1.0,0.3,"Lakewood, OH"
Neighborhood Coordination Officers Sector A working local buinesses help spread awareness the…,0.0,0.0,"65 6th Avenue, Brooklyn"
UNMH offering free flu shots See schedule plan get vaccinated soon Thank UNMH,0.4,0.8,"Albuquerque, New Mexico"
Dayum flu shot got arm sore,0.0,0.0,"San Diego, CA"
Did cold flu season get best Click link receive free Th…,0.26666666666666666,0.7000000000000001,
"Four year old boy rare sleeping illness caused swine flu Pandemrix vaccine £120,000 damages To…",0.2,0.55,UK
Be Smart prevent flu MSU Get FREE flu shot amp get discount coupon BearWear…,0.30714285714285716,0.7214285714285715,"Missouri, USA"
Nothing worse man flu,-0.4,0.6,Hastings
